"Name","Team","Ht","GP","MINS","OPPM","DPPM","PPM","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM.","MIDA","MID.","TPA","TP.","FTA","FT.","TS.","eFG."
"Kennard Davis","Southern Ill.","6-6",30,628.467,-0.8,1.7,0.9,7.4,0.9,4.3,1.3,1.3,0.2,1.4,2.8,1.9,0.606,0.4,0.667,3.8,0.323,1.5,0.615,0.546,0.534
"Frankie Collins","Arizona St.","6-1",32,1033.231,-0.1,1,0.9,14.4,1.1,3.5,3.3,2.7,0.2,2.8,2.4,5.5,0.571,2.7,0.333,4.7,0.31,3.2,0.576,0.495,0.482
"Marchelus Avery","UCF","6-7",31,541.851,1.5,-0.6,0.9,14.6,2.8,4.9,1.4,1.4,0.5,1.4,2.3,4.6,0.547,1.5,0.16,6.5,0.343,3.4,0.691,0.511,0.483
"Jacob Groves","Virginia","6-9",34,688.749,1.3,-0.4,0.9,14.1,1.5,3.9,1.2,1,0.5,0.7,3.8,2.4,0.548,2.8,0.36,6.2,0.459,1.6,0.621,0.582,0.577
"Caleb Robinson","Gardner-Webb","6-4",27,694.718,0.2,0.7,0.9,17.1,2.9,5.8,1.7,1.4,0.8,1.9,4.3,9.4,0.539,2.9,0.217,2,0.238,7.2,0.591,0.481,0.447
"Antonio ""TJ"" Madlock","Alabama St.","6-3",29,933.381,-0.2,1.1,0.9,16.8,1,4.4,2.4,1.6,0.4,1.2,2.9,5.5,0.553,6.1,0.268,3.1,0.2,7.3,0.779,0.464,0.381
"Amarr Knox","Alabama St.","6-3",28,415.868,1.6,-0.7,0.9,13.8,1.8,2.5,2.5,2.4,0,2.2,2.1,7.8,0.49,2.5,0.25,2.9,0.167,5.1,0.672,0.44,0.392
"Darius Duffy","Milwaukee","6-8",21,442.183,0.3,0.6,0.9,6.6,3.1,3.2,1.2,1,2.5,1,3,3.9,0.735,0.1,0,0,0,2.5,0.355,0.641,0.72
"Foster Wonders","Green Bay","6-5",26,532.95,1.9,-1,0.9,13.6,0.7,2.7,0.8,0.3,0.1,0.5,1.6,0.9,0.385,1,0.467,9.5,0.394,0.8,0.833,0.575,0.565
"Emmanuel Innocenti","Tarleton St.","6-5",31,1002.968,-0.3,1.2,0.9,6.9,0.9,6,3.2,1.7,0.2,1.9,2.7,1.8,0.529,2.1,0.373,2.5,0.296,1.6,0.778,0.484,0.445
"Boubacar Coulibaly","Pepperdine","6-10",10,212.966,-0.3,1.2,0.9,14,3.4,4.2,0.7,1.5,2.7,1.7,3,6.2,0.703,4,0.417,0,0,3.5,0.524,0.585,0.59
"Justice Ajogbor","Harvard","6-10",19,437.519,-0.7,1.6,0.9,12.7,3.4,6.3,0.8,0.4,4.4,2.7,2.8,7,0.628,3.1,0.342,0,0,3.7,0.478,0.535,0.54
"Dusty Stromer","Gonzaga","6-6",34,797.698,-0.3,1.2,0.9,7.1,1.3,3.5,1.6,0.9,0.8,1.3,2.6,1.2,0.519,0.7,0.176,4,0.366,1.5,0.833,0.539,0.496
"Justin Morgan","Murray St.","6-6",29,543.368,-0.2,1.1,0.9,7.5,2,2.4,0.9,1.4,0.6,0.9,2.7,1.9,0.679,0.2,0.333,4.3,0.246,2.2,0.735,0.504,0.458
