"Name","Class","Team","Conference","Height","Pos","GP","MP","OPPM","DPPM","PPM","WAWO","DWAWO","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM%","MIDA","MID%","3PA","3P%","FTA","FT%","TS%"
"Chauncey Wiggins","Jr.","Clemson","ACC","6-10","F",32,733,-0.7,-0.5,-1.2,1.6,0.6,13.2,1.3,3.9,1.3,0.5,0.4,1.7,1.8,2.2,55,3.6,48,5.2,37.7,1.8,79.4,55.8
"Jerrell Bellamy","Jr.","Troy","Sun Belt","6-9","F",28,279,-1.1,-0.1,-1.2,0.6,0.3,15.3,3.9,3.1,0.3,1,2.6,1.2,3.4,9.5,57.4,0.7,20.5,0.7,20,5.4,69,57.8
"Alec Millender","Sr.","IU Indy","Horizon","6-1","G",29,903,1.5,-2.7,-1.2,2,-0.3,9.8,0.3,1.9,3.9,0.9,0.1,1.5,3.1,1.3,49,0.7,53.1,4.8,42.5,2.1,79.2,63.5
"Isaiah Adams","Sr.","Toledo","MAC","6-6","G",31,940,-0.7,-0.5,-1.2,2.2,0.8,12.3,0.6,3.2,3.5,1.4,0.7,2.1,2.7,2.7,59.7,4.7,34.3,3.7,29.2,3.1,82,49
"Amar Augillard","Jr.","Fresno St.","MWC","6-4","G",11,219,-0.6,-0.6,-1.2,0.6,0.2,20.5,0.9,3,0.9,1.5,0,2.9,3.9,5.3,63.8,2.3,36.7,10.4,24,5.5,82.9,50.1
"Khaliq Abdul-Mateen","Sr.","Tex. A&M-Commerce","Southland","6-1","G",30,749,-1.4,0.2,-1.2,1.7,0.9,11.3,0.5,3.1,2,1.5,0.1,2.1,2.6,1.8,43,1.8,27.7,7.2,34,2.2,65.2,48
"Kristian Gonzalez","So.","Idaho","Big Sky","6-3","G",31,796,1.5,-2.7,-1.2,1.8,-0.3,15.6,1.3,2.3,1.4,0.8,0.2,1.5,1.4,3,63.2,2.8,43.5,6.4,35.3,3.1,82.2,57.3
"Danilo Dozic","Fr.","Pepperdine","WCC","6-10","F",27,604,-2,0.8,-1.2,1.4,0.9,8.6,0.8,3.1,1,0.6,0.9,0.6,2.6,1.6,51.9,2.4,33.3,4.5,33.6,1.2,72.7,48.1
"Assane Diop","So.","Colorado","Big 12","6-8","F",33,505,-1.8,0.6,-1.2,1.2,0.7,9.5,2.5,6.9,2.2,0.8,0.3,2.5,3.2,3.8,45.5,1.3,50.3,1.7,21.1,4.6,79.4,53.9
"Davion Sykes","So.","Southern Ill.","MVC","6-6","F",29,488,-1.4,0.2,-1.2,1.1,0.6,9.2,1.9,4.4,2,1,0.8,1.9,2.5,5.1,62,1.2,31.7,0.7,40.2,2.7,48.6,56.4
"Deshaun Jackson Jr.","Fr.","Mercyhurst","NEC","6-2","G",21,232,-1.7,0.5,-1.2,0.5,0.3,7.8,0.8,3,4.7,2,0.9,2.7,4,2.7,28.9,4.2,47.6,0.8,60.1,1.8,40,45.6
"Aiden Tobiason","Fr.","Temple","AAC","6-5","G",26,527,-0.3,-0.9,-1.2,1.2,0.3,7.6,1.5,2.2,1.6,1.2,0.5,0.5,2.9,1.6,61.6,0.5,29.3,3,39.9,2.3,75.8,62.3
"Chris Lockett","Fr.","Boise St.","MWC","6-4","G",23,282,-0.9,-0.3,-1.2,0.6,0.2,9.2,1.3,2.6,2.6,1,0,1.5,2.1,2.3,42.8,1.7,46.2,4.7,26.7,2.7,72.7,46.9
"Caedin Hamilton","So.","Marquette","Big East","6-9","F",27,175,-1.7,0.5,-1.2,0.4,0.2,8.9,4,3.4,4,0.8,1.6,2.5,5.1,6.9,46.4,0.8,25.8,1.4,0.7,3.9,52.6,41.1
"Bernard Pelote","Sr.","Western Caro.","SoCon","6-8","F",26,754,-0.4,-0.8,-1.2,1.8,0.5,16.5,1.9,6.7,1.3,0.7,1,2.2,3.1,4.8,57.3,3.1,34.9,6.9,34.1,2.6,67.7,51.7
"Jesus Carralero Martin","Sr.","Bethune-Cookman","SWAC","6-7","F",33,960,-2.3,1.1,-1.2,2.3,1.6,6.4,1.6,4.1,2.9,1.5,1.8,2,2.8,2.1,51.5,1.5,30.9,2.4,25.3,2,75,46.7
"A.J. Lopez","Sr.","Maine","America East","6-5","G",31,980,-0.9,-0.3,-1.2,2.2,0.9,15.9,0.2,2.3,1.3,0.8,0.2,2,1.8,3.9,56.1,3,45.8,4.6,38,4,88.2,59.8
"Chris Walker","Jr.","Binghamton","America East","6-6","G",28,878,0,-1.2,-1.2,2,0.4,12.9,0.9,3.3,2.3,1,0.4,2.5,2.7,3.6,55.9,1.6,17.9,4.7,41.7,3.2,73.8,56.7
"Jan Vide","So.","LMU (CA)","WCC","6-6","G",31,587,-1.5,0.3,-1.2,1.4,0.7,11.7,1.1,4.4,4.1,1.2,0.7,3.2,3.3,3.7,61.1,4.9,40.9,0.5,21.5,4,72.3,54.1
"Julian Brown","So.","Samford","SoCon","6-1","G",30,435,-1,-0.2,-1.2,1.1,0.4,10.7,1,3,1.5,1.2,0.1,1.2,3,1.4,47.5,0.4,0,7.2,35.4,2.1,82.8,54
"Carson Schwieger","Fr.","Valparaiso","MVC","6-8","F",15,154,-0.8,-0.4,-1.2,0.3,0.1,9.5,2.2,4.9,1.1,0.9,0.5,0.7,3.2,0.7,65.7,0.4,49,7.2,33.1,2,50,51.6
"Breylin Garcia","Jr.","USC Upstate","Big South","6-6","F",18,384,0.1,-1.3,-1.2,1,0.2,13,2.4,5.5,1.7,0.9,0.6,3.1,5.3,7.7,68.3,0.9,53.3,0.2,1,2.7,55.9,65.3
"Cornelius Robinson Jr.","So.","Monmouth","CAA","6-6","G",32,762,-1.3,0.1,-1.2,1.7,0.8,11.5,2.8,5.8,1.3,1.6,0.7,1.5,3.7,6.1,60.4,2.1,40.2,0.3,14.3,3.7,63.3,56.9
"Andrew McKeever","So.","Saint Mary's (CA)","WCC","7-1","C",18,98,-1.8,0.6,-1.2,0.2,0.1,14,6.7,6,0.3,1.2,1.1,1.5,3.5,9.4,67,0.7,0,0,0,4.1,36.4,59.3
"Jayme Mitchell Jr.","So.","Jackson St.","SWAC","6-5","F",30,698,-1.1,-0.1,-1.2,1.7,0.7,14.8,1.2,4,0.7,1.4,0.5,1.8,2.9,2.4,52.2,1.8,26.2,7.7,37.2,3.5,78.4,54.9
"Justin Begg","Fr.","George Mason","Atlantic 10","6-0","G",28,265,-0.5,-0.7,-1.2,0.6,0.2,11.8,0.3,2.5,4.1,1.6,0.1,4.2,4.6,2.3,70.9,2.3,17.6,5.9,34,2.3,75,51.2
"Kowacie Reeves Jr.","Sr.","Georgia Tech","ACC","6-6","G",6,143,-0.8,-0.4,-1.2,0.4,0.1,12.5,1.3,1.9,1.2,0.9,1.5,0.6,2.9,2.8,59.6,2.8,41.9,7.3,28,1.1,60,46.7
"Gavin Griffiths","So.","Nebraska","Big Ten","6-8","G",16,137,-2.5,1.3,-1.2,0.3,0.3,7.8,0.6,5.5,2.7,1.3,1.5,1.5,3.6,1.3,98.8,1.1,0,6.8,25.6,0,0,42.2
"Mykol Sanchez-Vega","Jr.","Tex. A&M-Commerce","Southland","6-6","G",17,194,-2,0.8,-1.2,0.5,0.3,10.5,1,2.9,0.9,1.7,0.3,0.8,2.2,1.5,66.8,0.8,0.6,9,28.2,1.2,71.4,44.2
"Jameel Morris","So.","Fairleigh Dickinson","NEC","6-1","G",28,512,-1.3,0.1,-1.2,1.1,0.6,10.3,1,2.4,1.7,2,0.1,2,4.9,2.2,63.2,0.5,42.8,5.2,32,2.7,75.7,56.4
"Luke Anderson","Sr.","James Madison","Sun Belt","6-8","F",11,121,-0.3,-0.9,-1.2,0.3,0.1,13.4,2.7,4,0.9,0.6,0.3,0,2.4,2.3,74.3,2.1,33.7,7.7,32.6,1,100,53.2
"Malachi Ndur","Sr.","William & Mary","CAA","6-8","F",30,489,-1.4,0.2,-1.2,1.2,0.6,11.8,1.3,5.5,3.2,0.8,0.6,3.6,4.8,3.4,54.2,0.8,27.4,5.6,25.8,4.6,72.7,50
"Demetrius Lilley","Jr.","La Salle","Atlantic 10","6-10","F",25,492,-1.5,0.3,-1.2,1.2,0.6,13.8,3.1,7.1,0.9,1,0.5,1.2,2.9,6.5,46.8,0.5,16.5,5.5,32.3,2.9,73.7,49.9
"Jamarques Lawrence","Jr.","Rhode Island","Atlantic 10","6-3","G",29,803,0,-1.2,-1.2,2,0.4,11.1,0.3,1.8,2.7,0.9,0.1,2.5,2.7,1.6,58.7,1.6,36.3,5.6,38.1,2,85.4,57.6
"Tyler Harris","So.","Washington","Big Ten","6-8","G",29,894,-0.8,-0.4,-1.2,2.1,0.8,13.4,1.4,4.6,0.5,1.1,1.3,1.1,2.4,2.8,62.4,3.6,40.9,3.4,49.7,2.9,69.4,61
"CJ Williams","Jr.","Auburn","SEC","6-2","G",8,7,-1.9,0.7,-1.2,0,0,9.5,0,0,0,8.5,0,0,0,3.7,1.2,4.7,99.9,0,0,0,0,56.6
"Paul McMillan IV","Jr.","Canisius","MAAC","6-2","G",28,1010,1.7,-2.9,-1.2,2.3,-0.5,19.8,0.6,2.9,2.6,0.7,0,2.2,1.6,7.3,54.5,5,39.2,3.7,31.8,5.6,77.8,53.4
"Tim Moore","Sr.","NJIT","ASUN","6-6","F",28,759,-0.7,-0.5,-1.2,1.7,0.6,16.6,2.7,5.7,0.2,0.9,1.8,1.6,2.3,5.8,62.7,2.4,37.8,3.5,36.4,4.5,78.8,60.1
"Emmanuel Stephen","Fr.","Arizona","Big 12","6-11","F",7,21,-2,0.8,-1.2,0.1,0,11.7,1.4,13,1.3,1.4,1.3,2.3,5.6,6,97.1,0,0,0,0,2.9,0,80.3
"Rory Stewart","So.","FGCU","ASUN","6-8","F",28,544,0.7,-1.9,-1.2,1.2,0,12.3,1.6,3.6,1.3,0.5,0.4,1,3.8,1.4,73.1,1.1,25.1,7.6,41.1,0.3,100,60.2
"Myron Amey Jr.","Sr.","LMU (CA)","WCC","6-2","G",31,630,-0.6,-0.6,-1.2,1.5,0.5,14,0.8,3.9,1.1,2,0.2,1.4,2.6,3.9,52.1,2.3,38.1,6.4,30.2,3,81.8,50.5
"Romelle Mansel","Sr.","Jackson St.","SWAC","6-9","F",31,1008,-1.5,0.3,-1.2,2.4,1.3,10.2,1.8,5.1,2.6,0.9,1,1.9,2.7,4,65.2,3.7,27.6,1.1,12.3,4.3,59.7,47.8
"Zaire Williams","Sr.","Wagner","NEC","6-4","G",22,669,-1.5,0.3,-1.2,1.6,0.9,11.9,0.6,3.7,2,1.6,0.1,1.8,2.7,2.8,45.4,2.6,26.6,6,32.9,3.1,68.3,46.9
"Ryan Forrest","So.","N.C. A&T","CAA","6-4","G",21,685,0.1,-1.3,-1.2,1.7,0.3,19.1,1.1,2.6,1.3,1.1,0.4,2.1,2.4,6.7,53.1,6,34.7,4.5,24.8,7,63.7,47.1
"JANKO.BULJIC"," ","Lamar University","WAC"," "," ",8,115,-1.8,0.6,-1.2,0.3,0.2,9.4,1.5,6.4,3.1,0.3,0.9,1.9,4.1,7.1,55.2,0,0,0,0,2.7,55.6,56.3
"Terrence Hill Jr.","Fr.","VCU","Atlantic 10","6-3","G",21,121,-0.8,-0.4,-1.2,0.3,0.1,17.2,0.6,2.6,1.7,1.5,0,3.7,3.3,2.7,79.7,3.1,19.9,8,33.1,3.7,100,55.8
"Wyatt Nausadis","Fr.","American","Patriot","6-4","G",31,382,-1.7,0.5,-1.2,0.8,0.5,9.3,0.7,2.6,2.7,1.7,0,1.7,3.7,1.8,65.6,1.7,11.5,6.2,27.7,1.8,76.5,44.2
"RaSheed Jones","So.","Coastal Carolina","Sun Belt","6-6","G",29,899,0.5,-1.7,-1.2,2,0.1,13.5,0.3,4,2.3,0.8,0.2,1.4,2.6,2.1,54.9,2.9,32.2,7.1,34,2.6,80,50.9
"PJ Dobuol","Jr.","Southern U.","SWAC","6-8","G",29,353,-3.9,2.7,-1.2,0.9,1,9.7,2,5.2,1,1.8,2,1.8,2.4,4.9,49,3,21.1,2.9,18.2,2.9,68.8,39.9
"Sam Alamutu","Jr.","Vermont","America East","6-5","G",31,749,-2.4,1.1,-1.3,1.6,1.2,7.6,2.6,7.2,3.3,0.9,0.7,2.5,2.2,5.8,49.8,0.9,47,1.3,8.5,1.5,50,44.6
"Bijan Cortes","Sr.","Wichita St.","AAC","6-2","G",32,712,-0.5,-0.8,-1.3,1.6,0.5,9.4,0.2,3,4.8,0.9,0.2,3.3,2.2,2.7,49.5,2.6,44.6,3.4,34,1.2,80,51
"Damon Wilkinson","Fr.","South Dakota St.","Summit League","6-10","F",24,239,-0.1,-1.2,-1.3,0.6,0.1,15.8,3.7,5.1,2.4,0.2,0.8,3.7,4.7,10.3,55.6,1.7,57.7,0,0,3.5,70.4,58.6
"Baraka Okojie","So.","Memphis","AAC","6-3","G",29,298,-0.9,-0.4,-1.3,0.7,0.3,4.6,0.9,3.1,3.4,1.2,0.3,1.7,5,1.6,43.7,1,40.3,1.4,41.9,1.6,38.5,48.5
"Hunter Jack Madden","Sr.","Abilene Christian","WAC","6-2","G",29,829,-1.3,0,-1.3,2,1,10.2,0.7,1.9,2.3,1.4,0.1,2.2,1.7,1.5,50,1.4,32.5,6.2,29.9,2.5,91,50.1
"Bryan Etumnu","Jr.","Merrimack","MAAC","6-7","F",31,939,-2.7,1.4,-1.3,2,1.6,10.2,1.3,5.9,0.7,1.2,2.6,0.9,3.5,4.5,65.3,0.2,0.4,2.6,31.8,2.6,72.6,60.5
"Jadin Collins-Roberts","So.","Marist","MAAC","6-1","G",30,985,-1.5,0.2,-1.3,2.1,1.1,9,1.5,4.2,3.9,1.4,0.2,2.4,2.2,4.2,60.1,2,36.7,1.7,16.5,2.5,66.2,49.9
"Cole Anderson","Sr.","UC Santa Barbara","Big West","6-5","G",32,920,0.1,-1.4,-1.3,2,0.3,11,0.2,2.2,1.3,0.8,0.1,0.8,1.9,0.7,54.8,1,34.3,6.2,47.7,0.7,89.5,66.7
"Andrew Welage","Sr.","Wright St.","Horizon","6-6","G",28,338,-1.1,-0.2,-1.3,0.8,0.3,8.3,1,2.5,2,0.5,0.4,1.4,2.1,0.4,46.6,0.9,43,6.5,33.4,0.8,75,50.7
"Andrea Holden","Fr.","Wright St.","Horizon","6-6","F",16,182,-2.2,0.9,-1.3,0.4,0.3,12.3,4.6,5.2,0.4,3.1,1,1.9,6.2,7.5,65.9,0.8,49.1,0,0,3.3,47.1,62.6
"David Wilkerson","So.","Youngstown St.","Horizon","6-4","G",25,172,-1.4,0.1,-1.3,0.4,0.2,14.1,1.4,3.5,2.9,1.5,0.2,2.9,4.8,6.1,54.4,2.6,30.4,4.5,30,2.8,66.7,49
"Braylhan Thomas","Fr.","Ga. Southern","Sun Belt","6-6","G",24,276,-2.1,0.8,-1.3,0.6,0.4,9.6,2.9,4.4,2.3,1.4,0.2,1.6,2.8,6.7,39.1,0.3,0.7,4,29.5,1.2,66.7,41.7
"Brian Myles","Sr.","Nicholls","Southland","6-8","F",3,46,-0.9,-0.4,-1.3,0.1,0,19.6,3.4,4.3,1.3,0.7,0.7,1.3,4.9,8.4,63.6,0,0,4.9,50,3.2,50,66.7
"Caleb Robinson","Sr.","Nicholls","Southland","6-4","G",13,156,-2.6,1.3,-1.3,0.3,0.3,11,4.8,6,1.5,2.1,1.1,2.2,5.5,5.9,59.4,3.4,38.7,2.3,10.3,1.4,50,45.2
"Cayden Ward","Fr.","Cal Poly","Big West","6-5","G",23,377,0.1,-1.4,-1.3,1,0.1,14.3,2.2,5.1,1.5,1,0.3,2.8,4.1,6.2,47.4,0.3,24.7,5.3,34.8,3.6,76.2,53.4
"Bruno Alocen","Fr.","Indiana St.","MVC","6-6","G",30,690,-0.9,-0.4,-1.3,1.7,0.6,8.1,1.1,2.6,2.3,1,0.1,1.6,2.1,1.1,33.6,0.2,59.9,5,35.3,2.1,82.6,55.6
"Ben Wight","Sr.","Stony Brook","America East","6-9","F",30,875,-1.1,-0.2,-1.3,1.9,0.8,10.7,3.6,2.6,2,1,0.4,2.2,2.7,6.6,56.3,1,34,0.1,99.8,3.6,64.6,57.6
"Langdon Hatton","Sr.","Indiana","Big Ten","6-10","F",19,118,-1.5,0.2,-1.3,0.3,0.1,12.1,4,5.1,1.9,1.4,1.5,2.9,5.2,5,56.7,1,50.7,0,0,7.4,73.9,65.6
"Carlous Williams","Sr.","Tennessee St.","OVC","6-5","F",29,767,-1.3,0,-1.3,1.8,0.9,12.9,1.6,3.3,1.2,0.8,0.9,2.5,4,5.1,70.4,2.4,37.7,2,28.1,3,74,59.7
"Jeremy Clayville","Fr.","Saint Francis (PA)","NEC","6-0","G",27,513,-0.2,-1.1,-1.3,1.2,0.3,12.4,0.7,1.9,2.2,1.3,0.1,2.1,2.2,1.6,56.7,1.8,28.3,7.9,38.8,0.7,60,53.6
"Andre Henry","Sr.","UC Irvine","Big West","6-4","G",8,210,-2.4,1.1,-1.3,0.5,0.4,10.1,0.8,3.2,1.4,1.7,0,1.8,2.1,2.3,58.3,3.8,47.5,3.6,21.9,1.4,100,48.7
"Andrew Akuchie","Jr.","Rice","AAC","6-9","F",31,603,-1.7,0.4,-1.3,1.3,0.7,10.9,2.9,6,1.2,0.7,0.9,1.2,3.6,5,67.6,1.8,31.5,1,17.7,4.2,60.6,56.6
"B. Artis White","Jr.","Richmond","Atlantic 10","5-10","G",23,631,-0.7,-0.6,-1.3,1.3,0.4,9.6,0.7,3.3,2.9,1.5,0.1,1.3,3.6,1,68.3,2.4,39,5.9,30,1.5,70.8,48.3
"Aaron Gray","Sr.","Indiana St.","MVC","6-7","G",24,601,-0.1,-1.2,-1.3,1.4,0.3,14.4,2.4,5.9,0.8,0.8,0.3,1.6,3,5.1,73.2,0.6,27.6,3.5,29.9,4.7,73.8,63.9
"Cameron Grant","Fr.","Stanford","ACC","6-7","F",10,48,-1.5,0.2,-1.3,0.1,0.1,12.6,5.4,3.7,2.5,1.5,0,0,3.3,2.3,100,0,0,7.2,36.7,0,0,66.4
"Cael Schmitt","Sr.","UNI","MVC","6-2","G",14,227,-0.3,-1,-1.3,0.5,0.1,10,0.2,1.9,2.3,1.4,0,1.4,3.3,0.5,32.1,2.8,41.1,6.2,34.4,1.3,75,49.6
"Connor Hickman","Jr.","Cincinnati","Big 12","6-3","G",13,258,-2.1,0.8,-1.3,0.6,0.4,7.6,0.4,4,2,1.1,0.1,1.1,1.8,2.3,56.7,1.4,45.4,4.7,25.4,0.3,50,44.6
"Malcolm Noel","Jr.","West Ga.","ASUN","5-11","G",23,510,-0.1,-1.2,-1.3,1.2,0.2,9.2,0.1,2.1,5.1,1.2,0,2,1.8,1.8,30.9,3.3,48.6,3.2,34.2,2.1,73.3,49.5
"Marcus Jackson","Jr.","Siena","MAAC","6-2","G",15,372,-0.6,-0.7,-1.3,0.8,0.2,8.9,1.6,4.3,2.8,1.3,0.7,1.8,4,3.4,51.8,0.4,1.4,2.3,34.7,4.2,70.7,56.2
"Kajus Kublickas","So.","Florida","SEC","6-2","G",6,23,-1.9,0.6,-1.3,0.1,0,5.6,4,5.5,2.5,0,0,0,3,4.8,24.5,0,0,1.3,0,3.3,100,37.2
"KJ Debrick","Sr.","Cleveland St.","Horizon","6-9","F",28,221,-2.5,1.2,-1.3,0.5,0.4,10.5,2.7,5.4,1.3,1,3.8,1.8,5.1,4,59.8,4.4,32.9,1,33.3,2.1,84.6,50.8
"Malek Gomma","So.","Seattle U","WAC","6-8","F",24,325,-0.8,-0.5,-1.3,0.7,0.3,9.1,3.8,4.7,1,1,0.7,1,4.7,6.2,61.6,0.4,49.2,0,0,2,55,61
"Keshawn Williams","Sr.","Colorado St.","MWC","6-3","G",33,467,-0.7,-0.6,-1.3,1,0.3,13.7,0.7,3.6,1.9,0.5,0.1,1.7,1.9,4.6,64.5,2.4,41.9,3.7,38.9,2.2,67.9,59
"Kobe Newton","Sr.","Wyoming","MWC","6-2","G",28,657,0.2,-1.5,-1.3,1.4,0.2,10.9,0.2,2.8,2,0.6,0.1,2.1,2.6,0.8,63.8,1,38.9,6.6,37.3,2,91.9,59.4
"Riley Fox","Fr.","Yale","Ivy League","6-6","F",21,185,0.1,-1.4,-1.3,0.4,0.1,13.1,0.6,4.1,0.7,0.7,0.2,0.4,4.1,2.9,37.9,1.9,59.2,6.7,43,0,0,56.9
"Koat Keat Tong","Jr.","UC Santa Barbara","Big West","6-10","F",21,204,-2,0.7,-1.3,0.4,0.3,7.8,3.2,7.1,1.3,0.6,1.4,2.3,4.6,3.9,56.7,0,0,0.9,59.9,3.2,55.6,62.8
"Mickey Pearson Jr.","Sr.","Ball St.","MAC","6-8","F",27,821,-0.4,-0.9,-1.3,1.9,0.5,13.8,1.5,4.8,1.2,0.5,0.5,1.4,2.3,3.3,55.6,2.2,37.9,4.8,33.3,4.4,82.7,56.2
"Kyler VanderJagt","Jr.","Central Mich.","MAC","6-4","G",26,681,-0.5,-0.8,-1.3,1.6,0.5,13.2,0.4,2.6,1.1,1.1,0.1,1.6,2.3,2.3,58.2,3.5,47.7,4,37.2,3.2,82.1,58.5
"Pablo Tamba","Sr.","UC Davis","Big West","6-7","G",30,835,-1.8,0.5,-1.3,1.9,1.1,14,1.9,4.9,1.4,1.4,0.9,3,3.2,7.5,65.5,1.3,30.9,0.5,22.8,4.6,65.8,61.7
"Myles Thompson","Jr.","SIUE","OVC","6-7","F",29,545,-1.9,0.6,-1.3,1.2,0.7,11.1,2.9,4.3,1.5,1,0.7,1.5,3.8,8,51.4,2.1,22.1,0.5,50,4.1,27.5,44.6
"Max Murrell","Sr.","UC Santa Barbara","Big West","6-9","F",30,576,-1.1,-0.2,-1.3,1.2,0.5,10.1,1,3,1.8,0.7,1.5,1.3,3.7,1.3,74.6,0.9,42.5,6.9,32,0.8,84.6,52.9
"Robby Carmody","Sr.","Le Moyne","NEC","6-4","G",23,588,0.1,-1.4,-1.3,1.5,0.2,13.2,0.9,1.9,1.3,1.1,0.3,1.5,3.2,3.7,54.7,1,33,4.5,34.7,4.8,78.9,58.2
"Nate Brafford","Jr.","Ga. Southern","Sun Belt","6-9","F",27,431,-0.6,-0.7,-1.3,1,0.3,8.1,1.7,3.3,1.4,1,0.8,1.5,4.8,1.7,65,0.1,2,4.3,39.2,1.7,52.4,59.8
"Sam Lecholat","Sr.","Montana St.","Big Sky","6-7","F",31,564,-1.8,0.5,-1.3,1.2,0.7,8,2.2,4,2,1,1.4,1.6,3.7,2.8,57.9,0.1,49.9,3.3,26.1,2.7,76.1,54.1
"Parker Jones","So.","Colgate","Patriot","6-6","F",30,840,-0.7,-0.6,-1.3,1.8,0.6,10.7,1.5,4.1,2.3,1.3,0.8,1.9,2.3,2.2,56.3,1.8,30.4,5.5,36.6,1.4,81.2,53.2
"Teo Rice","Sr.","Yale","Ivy League","6-2","G",10,40,-1.5,0.2,-1.3,0.1,0,21,0.9,6.5,1.6,2.5,0,0,7.3,3.5,73.3,5.5,81.8,3.3,48.9,3.7,50,74.8
"Sebastian Rancik","Fr.","Colorado","Big 12","6-9","F",32,556,-2.2,0.9,-1.3,1.2,0.9,12.4,1.5,4.5,1.4,0.9,0.5,1.6,2.7,4.5,60.2,1.3,39.7,3.7,25.3,4.6,67.2,53.5
"Taje' Kelly","Sr.","Charleston So.","Big South","6-7","F",29,1069,0,-1.3,-1.3,2.4,0.4,18.4,2.1,6.2,1.8,0.7,0.4,3,2.6,9,55.1,3,40.7,1.9,32.3,7,59.6,54.1
"Sam Alajiki","Sr.","Oral Roberts","Summit League","6-7","F",19,535,-1.6,0.3,-1.3,1.2,0.7,14.2,0.9,6.2,0.8,0.9,0.4,2,2.8,4.4,53,0.7,0,6.5,33.2,3.7,82.8,53.4
"Tye Dorset","Fr.","Merrimack","MAAC","6-3","G",32,483,-2.2,0.9,-1.3,1,0.7,7.3,0.3,1.9,1.4,1.6,0.1,0.5,1.6,1.3,71.2,1.1,30.1,4.5,28.4,1.2,75,48.9
"Rikus Schulte","So.","UC Riverside","Big West","6-9","F",31,464,-1.6,0.3,-1.3,1,0.6,8.5,3.5,4.8,0.9,0.6,0.4,1.2,3.7,5.1,63.5,0.5,42.9,1.4,21,1.2,56.2,56
"Yohan Traore","So.","SMU","ACC","6-11","F",29,469,0,-1.3,-1.3,1.1,0.2,13.3,2.8,4.4,0.9,0.4,0.7,1.2,3.2,4.8,64.4,1.4,34.8,2.4,33.3,5.3,68.1,60.1
"Rodney Johnson Jr.","Sr.","Tennessee Tech","OVC","6-5","F",23,593,-0.5,-0.8,-1.3,1.4,0.4,15.3,1.3,6.4,2,0.9,0.5,2,1.9,4.6,55.1,4.7,47.5,4.2,36.4,2.1,59.5,53.2
"Triston Wilson","Fr.","Presbyterian","Big South","6-6","G",26,226,-1.7,0.4,-1.3,0.5,0.3,7.1,1.3,4.3,2.1,1.1,0,1.9,5,2.7,49.1,0.8,24.7,2,30.3,2.5,88.2,53.6
"ALEXANDER.LESBURT"," ","Brown","Ivy League"," "," ",10,134,-1.5,0.1,-1.4,0.6,0.3,12.9,1,3.8,2.5,1.1,0,1.4,1.3,2.6,56.3,1.4,27.5,7.4,32.7,2.3,81.2,51.7
"Dani Pounds","So.","Old Dominion","Sun Belt","6-7","F",27,235,-1.7,0.3,-1.4,0.5,0.3,12,2.9,4,1.4,1.6,0.7,1.5,6.2,5.1,38.8,2.2,21.8,7,21.4,4.2,64.3,37.5
"Brayden Fagbemi","So.","Central Ark.","ASUN","6-0","G",28,929,-0.8,-0.6,-1.4,2,0.7,12,0.7,3.2,5,1.7,0,2.8,1.3,2.7,59.3,2.8,34,5.8,28.6,2.3,82.3,48.7
"Dion Brown","Jr.","Boston College","ACC","6-3","G",31,792,0.3,-1.7,-1.4,1.7,0.1,10.8,2.5,3.3,2.2,0.9,0.1,1.4,3.4,4.3,52.6,2.7,44.6,2.8,35.3,1.3,74.1,52.3
"Flash Burton","Fr.","Rider","MAAC","6-3","G",33,740,-1,-0.4,-1.4,1.6,0.6,12.4,0.5,3.1,3.3,1.4,0.5,2.4,2.9,3.1,47.4,5.6,40.7,2.5,25.6,4.4,68.5,47.3
"Andrew Phillips","So.","Lafayette","Patriot","6-4","F",31,821,-0.8,-0.6,-1.4,1.7,0.6,12.5,1.8,4.6,1.3,0.6,0.1,1.6,2.2,4,53.8,1.3,27.4,4.8,41.7,2,74.4,57
"Cavan Reilly","Jr.","Delaware","CAA","6-4","G",30,987,0.6,-2,-1.4,2.2,0,12.5,0.5,2.2,1.6,1.4,0.2,1.1,2.4,3,65.4,1.2,56.2,5.1,35.3,2.2,84.1,61
"Ben Roy","Jr.","Boston U.","Patriot","6-0","G",25,593,-1.7,0.3,-1.4,1.2,0.7,4.7,0.3,2.7,3.4,1.1,0.1,0.9,2,2,44.2,1.3,37.3,1.3,23.7,2,50,42.4
"Alonzo Dodd","Jr.","App State","Sun Belt","6-1","G",26,634,-1.4,0,-1.4,1.3,0.6,8.3,0.5,4.5,4.1,1.2,0.4,2.7,3.2,3.1,41.4,1.7,44.9,2.8,30.5,2.6,64.4,47.5
"Marcus Rigsby Jr.","Jr.","Troy","Sun Belt","6-3","G",30,657,-2,0.6,-1.4,1.4,0.9,10.9,1.1,3.5,2.7,1.1,0.8,3,3.6,2.2,56.1,1.1,32.2,6.9,30.4,2.2,65.1,48.7
"Brock Felder","So.","Southern Utah","WAC","6-8","F",28,677,-2.4,1,-1.4,1.5,1.1,7.9,2.8,6.3,1.5,0.7,2.8,1.7,3.6,4.2,68,1.5,34.1,0.2,0.2,1.9,63.4,59.2
"Alex Huibregtse","Sr.","Wright St.","Horizon","6-3","G",29,992,0.8,-2.2,-1.4,2.2,-0.1,13.6,0.3,2.8,3,0.6,0.2,1.8,2.2,1.2,59.9,2.9,44.5,7.8,36.4,1.3,78.9,54.4
