"Name","Class","Team","Conference","Height","Pos","GP","MP","OPPM","DPPM","PPM","WAWO","DWAWO","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM%","MIDA","MID%","3PA","3P%","FTA","FT%","TS%"
"Hayden Tibbits","Fr.","St. Thomas (MN)","Summit League","5-11","G",5,12,-3.9,-1.5,-5.4,0,0,12.1,2.6,0,1.8,0,0,2.1,4.4,8.2,73.8,2,0,4.4,0,0,0,41.3
"Eric Brown","So.","Cal Poly","Big West","6-8","F",3,9,-4.3,-1.1,-5.4,0,0,16.1,2.8,0,0,0,2.7,0,2.5,5.8,100,2.1,99.9,2.8,0,0,0,74.8
"Chance Westry","Jr.","Syracuse","ACC","6-6","G",3,10,-4.6,-0.8,-5.4,0,0,0.3,0,0,4.7,0,0,3.3,3.4,0,0,0,0,3.1,2.8,0,0,4.2
"DeMarion Yap","Fr.","UNLV","MWC","6-3","G",6,18,-4.7,-0.7,-5.4,0,0,6.2,2.1,0,2.1,0,0,0,6.4,2.1,0,1.9,0,6.5,32.7,0,0,29.2
"CJ Hyland","Fr.","Western Caro.","SoCon","6-1","G",23,493,-3.3,-2.1,-5.4,0,0,6.9,0.8,2.5,3.2,1,0,2.1,3.5,3.3,40,1.2,34.8,3.1,23.3,1.6,75,41.1
"Chase Courbat","Jr.","UNI","MVC","6-9","F",11,11,-4.6,-0.8,-5.4,0,0,18.1,0,2.7,0,0,0,0,0,9.8,65.9,2.6,99.9,0,0,0,0,73.1
"Landren Blocker","Fr.","Louisiana Tech","C-USA","6-5","G",10,47,-4.9,-0.5,-5.4,0,0,7.9,2.6,5.7,0,0.9,0.9,1.8,8,6.2,57.3,0,0,0,0,1.5,50,57.3
"Edward Nnamoko","So.","New Mexico St.","C-USA","6-10","C",17,80,-4.5,-0.9,-5.4,0,0,6.7,2.7,4.5,1.7,0,1.7,3.3,6.5,1.8,50.3,1.4,0.4,0,0,6.1,80,56.9
"Kody Williams","Jr.","Hawaii","Big West","6-0","G",24,562,-3.1,-2.3,-5.4,0,-0.1,9,0.2,3.2,2.7,0.6,0.3,3.4,3.3,2.6,38.1,0.8,33.8,5.1,30.4,2.2,83.8,47.7
"Quinn Strander","Sr.","Nicholls","Southland","5-10","G",3,18,-4.8,-0.6,-5.4,0,0,-0.1,1.9,1.7,2.7,1.6,0,3.4,5.1,1.6,0,0,0,1.4,0,0,0,0
"Isaac Holmes","So.","Saint Louis","Atlantic 10","6-4","G",3,6,-4.9,-0.5,-5.4,0,0,0,0,5,6.7,5.3,6.2,6.4,0,0,0,0,0,6.1,0.2,0,0,0.3
"Julian Margrave","Jr.","South Alabama","Sun Belt","6-10","F",1,5,-4.8,-0.6,-5.4,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,13.8,0,0,0,0
"Matar Diop","So.","LMU (CA)","WCC","6-10","F",16,126,-4,-1.4,-5.4,0,0,5.7,3.6,5.1,1.6,0.6,1.1,2.7,3.7,3.1,54.6,0.5,0,0,0,4,58.8,53.8
"Perry Smith Jr.","Jr.","N.C. Central","MEAC","6-9","F",29,873,-2.9,-2.5,-5.4,0,-0.2,12.7,3.2,3.9,0.6,0.7,0.7,2.3,3.1,8.3,61.1,0.7,43.3,0.1,0,3.5,56.1,59.6
"Luke Davis","Sr.","New Orleans","Southland","6-8","F",29,450,-3.5,-1.9,-5.4,0,0,9.1,4.3,4.9,0.6,0.8,0.4,1.4,5.6,5.5,44,1.4,16.6,1.5,35,3.6,60.4,45.5
"Mitchell Chaffee","Jr.","North Ala.","ASUN","6-10","C",10,24,-4.5,-0.9,-5.4,0,0,4.9,1.5,0,0,0,0,0,1.4,8,30.7,0,0,0,0,0,0,30.7
"Jayce Depron","Fr.","Southern U.","SWAC","6-3","G",16,79,-4.8,-0.6,-5.4,0,0.1,13.5,0.4,2.9,0.4,0.5,0.4,1.2,1.3,1.5,33.3,2.2,50.1,11.1,27.6,1.4,75,43.7
"Owen Derhmann","Fr.","Central Ark.","ASUN","6-4","G",16,180,-3.5,-1.9,-5.4,0,0,4.9,0.8,1.9,1.3,0.2,0.2,1.2,1.1,0.4,47.7,1,79.5,4.3,22.5,0,0,43
"William Humer","Jr.","Northern Colo.","Big Sky","6-10","F",16,58,-3.6,-1.8,-5.4,0,0,9.9,1.8,4.3,2.5,0.5,0,3,6.8,7.9,58.7,0,0,1.2,0,1.8,33.3,49.7
"Patrick Bath","Fr.","North Dakota St.","Summit League","6-9","F",5,10,-3.8,-1.6,-5.4,0,0,22.2,0,0,0,0,0,0,5.5,14.2,78.7,0,0,5.8,0,0,0,55.5
"Trey Stuart","Jr.","TCU","Big 12","6-2","G",2,1,-5.4,0,-5.4,0,0,0.6,0,13.9,0,0,0,0,0,0,0,19.2,1.6,0,0,0,0,1.6
"Redd Thompson Jr.","Fr.","James Madison","Sun Belt","6-0","G",8,14,-4.4,-1,-5.4,0,0,7,0,2,2.2,4,0,0,0,3.8,4.7,0,0,5.1,1,8.6,75,27.5
"Xavier Foster","Sr.","Radford","Big South","7-0","F",9,56,-4.5,-0.9,-5.4,0,0,6.3,2.1,3.4,1.4,1.3,4.5,3.5,7.7,4.2,36.4,2,32.6,2.6,25.1,0,0,35.9
"Quentin McCoy","Fr.","Arizona St.","Big 12","6-2","G",5,4,-5,-0.4,-5.4,0,0,0.6,0,0,0,0,0,0,9.2,9.3,3.1,0,0,0,0,0,0,3.1
"Tekao Carpenter","Jr.","Austin Peay","ASUN","6-3","G",27,523,-4.4,-1,-5.4,0,0.3,7.4,0.7,1.8,0.9,1.1,0.1,1.2,3,0.7,17,0.4,49.8,6.8,29.1,1,71.4,43.6
"Travis Roberts","So.","Marist","MAAC","6-6","F",30,270,-3.1,-2.3,-5.4,0,0,8.8,1.9,2.3,0.7,0.3,0.2,0.6,1.5,1.5,62.5,1.9,24.5,6.6,25.5,1,100,42.4
"Zack Davidson","So.","Montana","Big Sky","6-8","F",13,68,-3.9,-1.5,-5.4,0,0,10.5,1,3.5,0.5,1.1,0.5,2.4,7.9,3,83.1,1.3,65.6,0,0,5.2,70,78.4
"Jalen Windham","Sr.","Morehead St.","OVC","6-5","G",1,15,-4.4,-1,-5.4,0,0,12.2,1.9,4,0,0,0,1.6,1.7,0,0,1.5,100,7.1,0.2,9,100,48.1
"OUMAR.UNO.KOUREISSI"," ","Texas Southern","SWAC"," "," ",1,9,-5,-0.4,-5.4,0,0,20.3,3.9,3.4,3.2,3.6,3.1,6.1,14.7,3.1,100,3.1,2.1,6.9,49.9,7.2,50,62.4
"Ian Imegwu","So.","Cornell","Ivy League","6-9","F",2,1,-4.4,-1,-5.4,0,0,0,0,107.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bencao Vungo","So.","East Carolina","AAC","6-6","F",6,28,-4.6,-0.9,-5.5,0,0,3.7,3.6,6.1,1.2,0,1.2,1.4,3.6,3.6,33.3,0,0,1.3,0.4,2.6,50,30.7
"Chaydon Stone","Jr.","UMBC","America East","6-3","G",9,48,-4.1,-1.4,-5.5,0,0,9,1.5,2.6,3.1,1.2,0,3.1,5.3,3.6,17,0.8,0,7.3,35.8,0,0,38.4
"Donovan Rivers","So.","Jacksonville","ASUN","6-9","F",27,398,-5.9,0.4,-5.5,0,0.5,4.9,2.7,4.6,0.3,1,2.6,1,5.5,4.3,54.3,0.4,0,0,0,1.1,23.1,46.9
"Andre Young","Jr.","Rider","MAAC","5-11","G",25,284,-3.9,-1.6,-5.5,0,0.1,6.2,0.9,1.4,2.4,1.3,0,2.3,3.8,1.2,58.8,3.1,33.5,2.6,29.5,0.3,100,43.3
"Henry Thengvall","So.","Wichita St.","AAC","6-6","F",4,7,-5,-0.5,-5.5,0,0,6.3,0,0,0,0,0,0,0,3.2,100,2.8,0,0,0,0,0,52.9
