"Team","Ortg","DRTG","Rtg","EFG%","dEFG%","TO%","dTO%","ORB%","DRB%","FTR","dFTR"
"Murray St.",-0.1,1.4,1.3,49.2,49.6,16.4,16.5,27,74.9,37.9,33.1
"Montana St.",1,0.3,1.2,51.8,48.2,15.1,15.2,19.7,74.2,29.7,30.8
"A&M-Corpus Christi",-0.4,1.4,1.1,51.5,49.9,16.2,17.2,27.9,73.5,34.1,37.7
"Syracuse",2,-0.9,1.1,51.7,51,17.2,14.5,28.6,76.6,31.7,31.6
"East Carolina",0.7,0,0.7,48.2,51.4,16.2,17.2,31,72.6,34,29.7
"South Carolina St.",-1.8,2.4,0.6,48.9,50.6,17.6,19.4,30,72.4,39.5,40.8
"Towson",0.8,-0.2,0.6,48.1,50.5,14.9,16.5,31.8,75.2,28.7,30.4
"Jacksonville St.",1.4,-0.9,0.5,49.7,48.3,15.9,13.9,27.7,74.9,30.1,28
"UTSA",1.6,-1,0.5,50,52.5,15.6,19.5,24.3,70.1,30.2,39
"Washington",0,0.5,0.5,50.9,50.4,16.7,16.7,25.5,75.1,33.3,33.6
"Drexel",0.2,0.2,0.4,50.6,48.1,17.6,14.9,30.1,72.7,25.6,28.3
"Louisiana Tech",0.3,0.1,0.4,52.3,47.9,17.9,15,26.5,74.8,32.1,30.4
"Temple",2.5,-2.1,0.4,49.8,50.3,16.1,15.5,27.6,72.2,40.9,33.7
"Marshall",-0.6,0.9,0.3,49.3,49.4,17.1,16.6,28.6,75.8,33.3,36.7
"Norfolk St.",1.8,-1.5,0.3,51,50.7,16.6,17.7,25.8,69.8,34.8,33.3
"UC Riverside",1.7,-1.3,0.3,49.1,49.6,15.6,15.4,29.4,74,28.6,31.5
"California",1.5,-1.3,0.2,48,51.2,16,16.4,31.2,74.8,35.8,31.6
"Wichita St.",-0.9,1.1,0.2,48.5,49.9,16.3,15.7,28.4,75.3,32.7,27.5
"UIC",0.9,-0.8,0.1,50.3,50.6,17.2,15.7,26,74.5,32.6,30.5
"Elon",1,-1,0,49.6,48.5,18.2,13.6,33.2,71.9,35.8,26.2
"LMU (CA)",-1.8,1.7,-0.1,49.6,47.3,15.8,15.2,22.7,73.5,28.9,29.2
"Queens (NC)",1.1,-1.2,-0.1,51.4,51.1,17.8,16.3,28.7,73,34,32.7
"Radford",2.2,-2.3,-0.1,50.2,50.2,16.9,16.2,31.2,72.5,37.3,33.3
"Texas St.",2.2,-2.3,-0.1,50.2,50.7,17,16.1,30.3,72.6,34.7,38.9
"Cleveland St.",-2.5,2.1,-0.3,47.8,50.7,17.3,20.1,30.8,70.6,30.3,36.3
"Southeast Mo. St.",-1.8,1.5,-0.3,50.4,48.6,15.6,17.9,21.2,73,28.5,39.1
"Winthrop",0.3,-0.7,-0.4,51.3,50.5,17,17.7,28,73,41.9,33.6
